H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
273.933,223.508,498.804,810.897,712.772,114.48,116.121,50.488,550.314,287.779,3.012,2.764,3.218,197,3,Alho
267.119,218.056,471.547,804.083,708.683,121.294,116.121,50.488,550.314,287.779,3.012,2.761,3.218,197,3,Alho
260.305,231.685,475.636,806.809,697.781,114.48,121.17,50.488,550.314,287.779,3.012,2.761,3.218,197,2,Alho
265.756,224.871,474.273,801.357,681.426,122.657,121.17,50.488,550.314,287.779,3.012,2.758,3.218,196,6,Alho
263.031,220.782,498.804,810.897,690.966,115.842,126.219,50.488,550.314,287.779,3.012,2.758,3.218,197,6,Alho
276.659,226.234,476.998,801.357,718.223,117.205,126.219,50.488,545.266,287.779,3.012,2.758,3.215,197,1,Alho
267.119,224.871,472.91,805.446,681.426,113.117,126.219,50.488,545.266,287.779,3.009,2.755,3.215,197,1,Alho
269.845,231.685,496.078,789.092,710.046,118.568,126.219,50.488,545.266,287.779,3.012,2.755,3.215,198,1,Alho
269.845,233.048,504.256,806.809,716.861,117.205,131.268,50.488,545.266,287.779,3.009,2.752,3.215,198,1,Alho
276.659,231.685,471.547,804.083,695.055,122.657,131.268,50.488,545.266,287.779,3.012,2.755,3.215,199,1,Alho
269.845,230.322,494.716,804.083,720.949,115.842,136.316,50.488,545.266,287.779,3.012,2.752,3.215,200,1,Alho
269.845,228.959,506.981,808.172,714.135,128.108,136.316,50.488,545.266,287.779,3.012,2.755,3.215,201,4,Alho
269.845,223.508,501.53,802.72,688.241,125.382,141.365,45.439,545.266,287.779,3.012,2.752,3.215,201,4,Alho
283.473,220.782,494.716,804.083,684.152,124.02,141.365,50.488,545.266,287.779,3.012,2.75,3.215,202,7,Alho
269.845,230.322,501.53,809.535,692.329,124.02,141.365,50.488,540.217,287.779,3.009,2.75,3.215,203,7,Alho
267.119,228.959,504.256,812.26,719.586,117.205,141.365,50.488,545.266,287.779,3.009,2.747,3.215,203,7,Alho
269.845,231.685,513.795,809.535,708.683,122.657,146.414,50.488,545.266,287.779,3.009,2.75,3.215,204,6,Alho
280.748,224.871,490.627,816.349,695.055,117.205,151.463,50.488,540.217,287.779,3.009,2.75,3.215,205,6,Alho
276.659,230.322,460.644,854.509,700.506,118.568,146.414,50.488,545.266,287.779,3.012,2.75,3.215,205,2,Alho
282.111,242.588,475.636,816.349,686.878,121.294,151.463,50.488,545.266,287.779,3.009,2.75,3.215,206,2,Alho
267.119,227.596,502.893,819.075,680.064,122.657,151.463,50.488,545.266,287.779,3.012,2.747,3.215,206,5,Alho
269.845,234.411,482.45,836.792,701.869,114.48,156.511,50.488,540.217,287.779,3.009,2.747,3.215,207,5,Alho
291.65,227.596,483.813,814.986,681.426,118.568,156.511,50.488,545.266,287.779,3.009,2.747,3.215,207,5,Alho
279.385,233.048,509.707,809.535,719.586,126.745,161.56,50.488,540.217,287.779,3.009,2.747,3.215,208,5,Alho
287.562,228.959,479.724,819.075,712.772,111.754,161.56,50.488,540.217,287.779,3.009,2.747,3.215,208,4,Alho
279.385,227.596,502.893,816.349,720.949,122.657,161.56,50.488,540.217,287.779,3.009,2.744,3.215,209,4,Alho
286.199,226.234,496.078,817.712,684.152,121.294,161.56,45.439,540.217,287.779,3.009,2.744,3.215,209,1,Alho
275.296,222.145,511.07,813.623,696.418,124.02,166.609,50.488,540.217,287.779,3.009,2.747,3.215,210,1,Alho
290.288,227.596,502.893,817.712,681.426,124.02,166.609,50.488,540.217,287.779,3.009,2.747,3.215,210,3,Alho
276.659,223.508,481.087,814.986,685.515,115.842,171.658,50.488,540.217,287.779,3.009,2.744,3.215,211,3,Alho
273.933,230.322,519.247,809.535,712.772,119.931,176.706,50.488,540.217,287.779,3.006,2.744,3.215,211,3,Alho
279.385,227.596,519.247,611.921,703.232,126.745,171.658,50.488,540.217,287.779,3.009,2.744,3.215,211,2,Alho
282.111,235.774,490.627,819.075,705.958,114.48,176.706,50.488,540.217,287.779,3.009,2.744,3.215,211,2,Alho
284.836,239.862,486.538,823.163,685.515,122.657,176.706,50.488,540.217,287.779,3.006,2.741,3.215,211,6,Alho
290.288,231.685,516.521,814.986,689.604,124.02,176.706,50.488,540.217,287.779,3.006,2.741,3.215,211,6,Alho
283.473,227.596,519.247,816.349,703.232,126.745,181.755,50.488,540.217,287.779,3.009,2.744,3.215,210,1,Alho
286.199,228.959,486.538,820.437,684.152,122.657,176.706,50.488,535.168,287.779,3.009,2.741,3.215,209,1,Alho
280.748,233.048,505.618,827.252,720.949,121.294,181.755,50.488,540.217,287.779,3.006,2.738,3.215,209,1,Alho
278.022,228.959,531.513,824.526,712.772,121.294,186.804,50.488,535.168,287.779,3.006,2.741,3.215,208,1,Alho
280.748,223.508,501.53,821.8,678.701,118.568,186.804,50.488,540.217,287.779,3.009,2.741,3.215,208,1,Alho
271.208,211.242,516.521,824.526,641.904,126.745,186.804,50.488,540.217,287.779,3.009,2.741,3.215,207,1,Alho
279.385,226.234,508.344,824.526,685.515,125.382,191.853,50.488,540.217,287.779,3.006,2.738,3.215,207,4,Alho
299.828,235.774,524.698,827.252,712.772,122.657,191.853,50.488,535.168,287.779,3.006,2.738,3.215,207,4,Alho
283.473,245.313,516.521,825.889,720.949,115.842,191.853,50.488,535.168,287.779,3.006,2.741,3.215,206,7,Alho
294.376,237.136,504.256,829.977,685.515,124.02,196.901,50.488,535.168,287.779,3.006,2.738,3.215,206,7,Alho
293.013,233.048,491.99,813.623,685.515,115.842,201.95,50.488,535.168,287.779,3.006,2.738,3.215,206,7,Alho
291.65,239.862,500.167,829.977,700.506,113.117,196.901,50.488,535.168,287.779,3.006,2.738,3.215,205,6,Alho
295.739,238.499,509.707,821.8,682.789,124.02,196.901,50.488,540.217,287.779,3.006,2.738,3.215,205,6,Alho
280.748,233.048,519.247,813.623,718.223,113.117,201.95,50.488,535.168,287.779,3.003,2.738,3.215,205,2,Alho
293.013,228.959,531.513,827.252,693.692,126.745,206.999,50.488,535.168,287.779,3.006,2.738,3.215,204,2,Alho
284.836,234.411,516.521,828.614,685.515,128.108,206.999,50.488,535.168,287.779,3.006,2.741,3.215,204,5,Alho
287.562,233.048,532.875,824.526,705.958,118.568,206.999,50.488,535.168,287.779,3.006,2.738,3.215,204,5,Alho
288.925,231.685,523.335,821.8,715.498,110.391,212.048,45.439,535.168,287.779,3.006,2.738,3.215,203,5,Alho
288.925,237.136,519.247,835.429,680.064,122.657,212.048,45.439,535.168,287.779,3.003,2.738,3.215,203,5,Alho
249.402,245.313,501.53,821.8,686.878,124.02,212.048,50.488,535.168,287.779,3.006,2.738,3.215,203,4,Alho
