 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,Sampe/Class
6:05:27 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.12,3.6,4.56,0.86,3.52,3.39,0.99,10.07,15.77,2.28,4.45,52.98,1.97,69.14,Coffee 1
6:05:28 PM,27-05-23,27.3,30,0.78,0.54,0.41,2.08,3.57,4.26,0.85,3.61,3.49,0.98,9.94,16.66,2.3,4.37,53.28,1.96,68.58,Coffee 1
6:05:28 PM,27-05-23,27.3,30,0.78,0.54,0.41,2.1,3.57,4.05,0.83,3.69,3.49,0.98,9.94,16.57,2.25,4.38,52.54,1.98,70,Coffee 1
6:05:29 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.12,3.6,4.37,0.87,3.58,3.37,0.99,10.1,17.12,2.27,4.32,52.61,1.96,69.85,Coffee 1
6:05:29 PM,27-05-23,27.3,30,0.78,0.54,0.39,2.11,3.62,4.72,0.84,3.47,3.47,0.96,9.97,15.86,2.27,4.45,52.98,1.97,69.14,Coffee 1
6:05:30 PM,27-05-23,27.3,30,0.78,0.54,0.42,2.11,3.54,4.56,0.84,3.52,3.35,0.95,10.13,16.21,2.25,4.41,52.76,1.97,69.57,Coffee 1
6:05:30 PM,27-05-23,27.3,30,0.78,0.54,0.39,2.1,3.61,4.6,0.85,3.5,3.61,0.96,9.79,16.3,2.29,4.4,52.83,1.97,69.43,Coffee 1
6:05:31 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.11,3.58,4.45,0.85,3.55,3.42,0.95,10.03,16.03,2.27,4.43,52.76,1.95,69.57,Coffee 1
6:05:31 PM,27-05-23,27.3,30,0.78,0.54,0.42,2.12,3.54,4.37,0.87,3.58,3.64,0.99,9.76,16.57,2.28,4.38,52.02,1.98,71.01,Coffee 1
6:05:32 PM,27-05-23,27.3,30,0.78,0.54,0.39,2.07,3.62,4.68,0.87,3.48,3.61,0.96,9.79,16.66,2.28,4.37,52.76,1.97,69.57,Coffee 1
6:05:32 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.12,3.59,4.41,0.86,3.56,3.59,1,9.82,16.66,2.28,4.37,52.91,1.98,69.28,Coffee 1
6:05:33 PM,27-05-23,27.3,30,0.78,0.54,0.39,2.07,3.62,4.49,0.87,3.54,3.61,0.99,9.79,16.3,2.29,4.4,53.13,1.97,68.86,Coffee 1
6:05:33 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.1,3.58,4.37,0.88,3.58,3.56,0.99,9.85,15.34,2.28,4.5,52.31,1.97,70.43,Coffee 1
6:05:34 PM,27-05-23,27.3,30,0.78,0.54,0.38,2.11,3.64,4.41,0.85,3.56,3.59,0.98,9.82,17.03,2.25,4.33,52.98,1.95,69.14,Coffee 1
6:05:35 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.12,3.6,4.26,0.83,3.61,3.44,0.96,10,15.95,2.29,4.44,52.69,1.98,69.71,Coffee 1
6:05:35 PM,27-05-23,27.3,30,0.78,0.54,0.42,2.09,3.55,4.37,0.86,3.58,3.44,0.99,10,17.22,2.29,4.32,53.06,1.94,69,Coffee 1
6:05:36 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.09,3.59,4.49,0.83,3.54,3.42,1,10.03,16.39,2.27,4.39,53.06,1.97,69,Coffee 1
6:05:36 PM,27-05-23,27.3,29,0.78,0.54,0.39,2.07,3.62,4.72,0.85,3.47,3.26,0.99,10.26,16.3,2.28,4.4,52.76,1.97,69.57,Coffee 1
6:05:37 PM,27-05-23,27.3,29,0.78,0.54,0.37,2.11,3.66,4.72,0.83,3.47,3.39,0.99,10.07,16.57,2.29,4.38,52.17,1.97,70.72,Coffee 1
6:05:37 PM,27-05-23,27.3,29,0.78,0.54,0.42,2.07,3.55,4.26,0.82,3.61,3.64,1,9.76,16.3,2.24,4.4,52.69,1.96,69.71,Coffee 1
