H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
370.696,327.085,329.81,673.249,820.437,20.443,464.486,45.439,545.266,287.779,2910.718,2821.157,3218.209,545,0,Compostagem
374.785,332.536,340.713,671.886,849.057,24.531,469.534,45.439,545.266,287.779,2910.718,2824.143,3218.209,544,0,Compostagem
363.882,329.81,366.607,673.249,842.243,24.531,469.534,45.439,540.217,287.779,2910.718,2821.157,3218.209,543,0,Compostagem
361.156,336.625,362.519,669.161,849.057,21.806,464.486,45.439,540.217,287.779,2910.718,2821.157,3215.224,542,0,Compostagem
355.705,333.899,346.165,675.975,849.057,23.168,464.486,45.439,540.217,287.779,2910.718,2821.157,3218.209,541,0,Compostagem
370.696,328.448,374.785,681.426,842.243,23.168,464.486,45.439,540.217,287.779,2910.718,2818.172,3215.224,540,0,Compostagem
359.793,335.262,366.607,674.612,855.872,25.894,464.486,45.439,540.217,287.779,2910.718,2821.157,3218.209,539,0,Compostagem
359.793,327.085,336.625,681.426,834.066,17.717,469.534,45.439,540.217,287.779,2907.732,2818.172,3215.224,539,0,Compostagem
367.97,331.173,370.696,670.524,839.517,29.983,469.534,45.439,540.217,287.779,2910.718,2818.172,3218.209,538,0,Compostagem
378.873,328.448,336.625,677.338,823.163,32.708,464.486,50.488,540.217,287.779,2910.718,2818.172,3215.224,537,0,Compostagem
359.793,322.996,365.245,670.524,844.969,32.708,464.486,45.439,540.217,287.779,2910.718,2818.172,3218.209,536,0,Compostagem
362.519,331.173,350.253,677.338,814.986,25.894,464.486,45.439,535.168,287.779,2910.718,2818.172,3215.224,535,0,Compostagem
374.785,337.987,344.802,678.701,813.623,27.257,464.486,45.439,535.168,287.779,2907.732,2815.187,3215.224,534,0,Compostagem
362.519,340.713,335.262,670.524,840.88,28.62,464.486,45.439,535.168,287.779,2907.732,2815.187,3218.209,534,0,Compostagem
378.873,337.987,366.607,684.152,846.332,29.983,464.486,45.439,535.168,287.779,2910.718,2818.172,3215.224,533,0,Compostagem
370.696,329.81,372.059,669.161,849.057,32.708,464.486,45.439,535.168,287.779,2907.732,2815.187,3218.209,532,0,Compostagem
