PC1,PC2,Class
-1.1446137182772003,-0.9008106995607356,Compostagem
2.8826764765386748,2.649207688634903,Compostagem
2.274035486181748,1.555722620828245,Compostagem
1.2065014179124363,0.1563313909839853,Compostagem
0.8620985071497126,-0.27926604448711956,Compostagem
0.7859957024113522,-0.4450135004293715,Compostagem
0.735170217773579,-0.6260701465520802,Compostagem
0.6497855432318472,-0.7065505460499495,Compostagem
0.6727806537644923,-0.7233006626381765,Compostagem
0.6660091870185179,-0.7925974157981099,Compostagem
0.6882854225726734,-0.8498326011602786,Compostagem
0.6993824012525459,-0.8167258226003016,Compostagem
0.6576233671682332,-0.8821036709431612,Compostagem
0.6193636498364414,-0.8621931090105197,Compostagem
0.6739484224701008,-0.8912240325042372,Compostagem
0.7046713661188382,-0.8756501713794366,Compostagem
0.553591849782745,-0.9450950083093967,Compostagem
0.6592250976599608,-0.8870031654386296,Compostagem
0.6354456002160819,-0.8926738746899648,Compostagem
0.754583970037305,-0.8804352670126312,Compostagem
0.6850755398815281,-0.8962911316771592,Compostagem
0.5661978856039493,-0.9315362318104972,Compostagem
0.6568816946387768,-0.9069424058832879,Compostagem
0.6058202417255388,-0.9556477307320909,Compostagem
0.5380949855453647,-0.9688767300725039,Compostagem
0.5768540735501199,-0.8011661186631409,Compostagem
0.6193824557197305,-0.9543252087915595,Compostagem
0.5142586672328238,-0.9787740530369164,Compostagem
0.5957061020681483,-0.9351002401575977,Compostagem
0.5203106079013678,-0.975762058112979,Compostagem
0.5130809961389564,-0.9436696585448665,Compostagem
0.5323771492895908,-0.9575302581887337,Compostagem
0.49259647675858065,-0.8093498429812871,Compostagem
0.515028250844129,-0.8185058091493376,Compostagem
0.5527155420152868,-0.7893589535149594,Compostagem
0.5586500696868214,-0.9913450887452673,Compostagem
0.6646579027941403,-0.9112389540963266,Compostagem
0.4640678188769026,-0.9829300147357685,Compostagem
0.46464635614968874,-0.9917075584367911,Compostagem
0.6116049814105174,-0.9292196435155469,Compostagem
0.4804455429253168,-0.9924345303646848,Compostagem
0.5778536070135085,-0.9267310351123303,Compostagem
0.5959783869500065,-0.9642196529587951,Compostagem
0.4550400252747319,-1.0048865427327296,Compostagem
0.5197012736447018,-1.0112340699508255,Compostagem
0.5170533464854206,-0.9881312674834956,Compostagem
0.6197764712566515,-0.9433176472890394,Compostagem
0.5538650611638863,-0.992642255336281,Compostagem
0.5793871952152023,-0.949079994665909,Compostagem
